NOME DO JOB	DATA DE EXECUÇÃO	HORA DE EXECUÇÃO	TEMPO DE CPU	TEMPO DE SALA	RETURN CODE	USUARIO	JOBID
OCGJD400	01/05/2025	05.14.49	288,61	342,99	0000	USRIWPRD	51275
OCGJD400	03/05/2025	04.34.22	297,06	472,80	0000	USRIWPRD	76317
OCGJD400	06/05/2025	04.04.30	301,91	432,29	0000	USRIWPRD	7708
OCGJD400	07/05/2025	04.04.39	299,92	388,79	0000	USRIWPRD	26489
OCGJD400	08/05/2025	03.57.03	300,90	406,09	0000	USRIWPRD	45320
OCGJD400	09/05/2025	03.54.48	297,37	372,42	0000	USRIWPRD	64097
OCGJD400	10/05/2025	03.56.37	297,31	403,36	0000	USRIWPRD	82710
OCGJD400	13/05/2025	03.34.43	299,75	405,64	0000	USRIWPRD	14091
OCGJD400	14/05/2025	03.53.13	300,45	388,38	0000	USRIWPRD	32483
OCGJD400	15/05/2025	03.55.11	300,83	395,13	0000	USRIWPRD	51653
OCGJD400	16/05/2025	03.53.02	301,02	391,25	0000	USRIWPRD	70413
OCGJD400	17/05/2025	03.53.56	301,58	413,19	0000	USRIWPRD	88883
OCGJD400	20/05/2025	03.52.31	288,34	359,86	0000	USRIWPRD	20085
OCGJD400	21/05/2025	03.54.46	287,87	350,27	0000	USRIWPRD	38419
OCGJD400	22/05/2025	03.56.48	291,79	384,30	0000	USRIWPRD	57613
OCGJD400	23/05/2025	03.55.53	291,52	379,04	0000	USRIWPRD	76819
OCGJD400	24/05/2025	03.54.53	290,09	376,51	0000	USRIWPRD	95893
OCGJD400	27/05/2025	03.53.19	293,75	362,90	0000	USRIWPRD	27640
OCGJD400	28/05/2025	03.53.47	292,83	357,28	0000	USRIWPRD	45976
OCGJD400	29/05/2025	03.48.27	293,11	353,68	0000	USRIWPRD	65457
OCGJD400	30/05/2025	03.49.23	288,60	365,34	0000	USRIWPRD	84369
OCGJD400	31/05/2025	03.33.50	294,05	438,89	0000	USRIWPRD	3503
OCGJD400	03/06/2025	05.18.26	276,47	345,83	0000	USRIWPRD	36351
OCGJD400	04/06/2025	05.34.32	286,58	366,49	0000	USRIWPRD	55207
OCGJD400	05/06/2025	05.08.09	285,20	351,08	0000	USRIWPRD	74505
OCGJD400	06/06/2025	03.55.28	323,31	411,88	0000	USRIWPRD	93009
OCGJD400	07/06/2025	03.55.43	329,88	441,67	0000	USRIWPRD	11913
OCGJD400	10/06/2025	03.55.59	330,01	426,60	0000	USRIWPRD	43335
OCGJD400	11/06/2025	03.55.31	329,61	422,11	0000	USRIWPRD	62186
OCGJD400	12/06/2025	03.56.24	330,78	413,37	0000	USRIWPRD	81757
OCGJD400	13/06/2025	03.54.19	38,38	54,31	0000	USRIWPRD	725
OCGJD400	14/06/2025	03.53.29	37,27	67,14	0000	USRIWPRD	19528
OCGJD400	17/06/2025	03.45.46	36,47	46,46	0000	USRIWPRD	49503
OCGJD400	18/06/2025	03.46.01	36,66	50,45	0000	USRIWPRD	67954
OCGJD400	19/06/2025	03.46.04	36,87	56,82	0000	USRIWPRD	86787
OCGJD400	21/06/2025	03.46.34	37,58	57,38	0000	USRIWPRD	11820
OCGJD400	24/06/2025	03.45.47	36,86	56,47	0000	USRIWPRD	41965
OCGJD400	25/06/2025	03.46.55	51,93	71,05	0000	USRIWPRD	60521
OCGJD400	26/06/2025	03.47.53	52,76	83,48	0000	USRIWPRD	79043
OCGJD400	27/06/2025	03.47.29	27,29	35,55	0000	USRIWPRD	97907
OCGJD400	28/06/2025	03.47.03	11,85	17,91	0000	USRIWPRD	16696
OCGJD400	01/07/2025	04.10.02	12,14	18,06	0000	USRIWPRD	47310
OCGJD400	02/07/2025	04.10.59	10,11	14,76	0000	USRIWPRD	66747
OCGJD400	03/07/2025	03.59.45	9,52	14,23	0000	USRIWPRD	86099
OCGJD400	04/07/2025	03.42.14	8,37	11,11	0000	USRIWPRD	5520
OCGJD400	05/07/2025	03.42.52	8,45	11,43	0000	USRIWPRD	24643
OCGJD400	08/07/2025	03.39.23	11,93	15,49	0000	USRIWPRD	56619
OCGJD400	09/07/2025	03.47.13	9,79	14,71	0000	USRIWPRD	75618
OCGJD400	10/07/2025	03.46.05	9,33	15,57	0000	USRIWPRD	97882
OCGJD400	11/07/2025	03.46.51	9,68	12,92	0000	USRIWPRD	17152
OCGJD400	12/07/2025	03.46.11	9,42	14,89	0000	USRIWPRD	36290
OCGJD400	15/07/2025	03.54.22	9,55	13,09	0000	USRIWPRD	68900
OCGJD400	16/07/2025	03.53.33	9,45	12,75	0000	USRIWPRD	88264
OCGJD400	17/07/2025	03.52.45	9,57	13,14	0000	USRIWPRD	8004
OCGJD400	18/07/2025	03.51.59	9,75	13,16	0000	USRIWPRD	27123
OCGJD400	19/07/2025	03.52.02	9,73	13,29	0000	USRIWPRD	46052
OCGJD400	20/07/2025	10.56.19	6,91	8,84	0000	USRIWPRD	54648
OCGJD400	22/07/2025	03.52.08	9,62	12,71	0000	USRIWPRD	77002
OCGJD400	22/07/2025	06.52.48	0,00	1,20	0012	USRIWPRD	78359
