NOME DO JOB	DATA DE EXECUÇÃO	HORA DE EXECUÇÃO	TEMPO DE CPU	TEMPO DE SALA	RETURN CODE	USUARIO	JOBID
OCGJD400	03/06/2025	05.18.26	276,47	345,83	0000	USRIWPRD	36351
OCGJD400	04/06/2025	05.34.32	286,58	366,49	0000	USRIWPRD	55207
OCGJD400	05/06/2025	05.08.09	285,20	351,08	0000	USRIWPRD	74505
OCGJD400	06/06/2025	03.55.28	323,31	411,88	0000	USRIWPRD	93009
OCGJD400	07/06/2025	03.55.43	329,88	441,67	0000	USRIWPRD	11913
OCGJD400	10/06/2025	03.55.59	330,01	426,60	0000	USRIWPRD	43335
OCGJD400	11/06/2025	03.55.31	329,61	422,11	0000	USRIWPRD	62186
OCGJD400	12/06/2025	03.56.24	330,78	413,37	0000	USRIWPRD	81757
OCGJD400	13/06/2025	03.54.19	38,38	54,31	0000	USRIWPRD	725
OCGJD400	14/06/2025	03.53.29	37,27	67,14	0000	USRIWPRD	19528
OCGJD400	17/06/2025	03.45.46	36,47	46,46	0000	USRIWPRD	49503
OCGJD400	18/06/2025	03.46.01	36,66	50,45	0000	USRIWPRD	67954
OCGJD400	19/06/2025	03.46.04	36,87	56,82	0000	USRIWPRD	86787
OCGJD400	21/06/2025	03.46.34	37,58	57,38	0000	USRIWPRD	11820
OCGJD400	24/06/2025	03.45.47	36,86	56,47	0000	USRIWPRD	41965
OCGJD400	25/06/2025	03.46.55	51,93	71,05	0000	USRIWPRD	60521
OCGJD400	26/06/2025	03.47.53	52,76	83,48	0000	USRIWPRD	79043
OCGJD400	27/06/2025	03.47.29	27,29	35,55	0000	USRIWPRD	97907
OCGJD400	28/06/2025	03.47.03	11,85	17,91	0000	USRIWPRD	16696
OCGJD400	01/07/2025	04.10.02	12,14	18,06	0000	USRIWPRD	47310
