NOME DO JOB	DATA DE EXECUÇÃO	HORA DE EXECUÇÃO	TEMPO DE CPU	TEMPO DE SALA	RETURN CODE	USUARIO	JOBID
OCGJD400	01/01/2025	03.48.21	200,43	319,75	0000	TWSUSER	12184
OCGJD400	03/01/2025	04.12.12	191,41	257,27	0000	TWSUSER	42598
OCGJD400	04/01/2025	03.49.06	194,04	273,21	0000	TWSUSER	63447
OCGJD400	07/01/2025	03.56.33	194,02	255,80	0000	TWSUSER	99957
OCGJD400	08/01/2025	03.53.31	196,47	245,24	0000	TWSUSER	21380
OCGJD400	09/01/2025	03.36.12	195,85	257,30	0000	TWSUSER	44557
OCGJD400	10/01/2025	03.49.25	195,92	255,51	0000	TWSUSER	67916
OCGJD400	11/01/2025	03.50.19	195,77	248,71	0000	TWSUSER	90718
OCGJD400	14/01/2025	03.49.12	198,51	250,77	0000	TWSUSER	27756
OCGJD400	15/01/2025	03.50.45	198,93	247,67	0000	TWSUSER	50534
OCGJD400	16/01/2025	04.01.09	199,92	354,38	0000	TWSUSER	73929
OCGJD400	17/01/2025	03.52.47	200,50	264,71	0000	TWSUSER	96902
OCGJD400	18/01/2025	03.50.22	199,63	274,63	0000	TWSUSER	21607
OCGJD400	21/01/2025	03.50.35	198,38	258,01	0000	TWSUSER	61292
OCGJD400	22/01/2025	03.35.08	198,20	250,78	0000	TWSUSER	87259
OCGJD400	23/01/2025	03.48.27	198,60	249,80	0000	TWSUSER	14679
OCGJD400	24/01/2025	03.50.16	198,03	251,78	0000	TWSUSER	39844
OCGJD400	25/01/2025	03.50.45	199,00	253,89	0000	TWSUSER	64525
OCGJD400	28/01/2025	03.51.21	236,09	295,25	0000	TWSUSER	5435
OCGJD400	29/01/2025	03.51.53	235,36	293,73	0000	TWSUSER	32878
OCGJD400	30/01/2025	03.52.49	236,40	301,34	0000	TWSUSER	56532
OCGJD400	31/01/2025	03.52.36	236,21	298,09	0000	TWSUSER	77786
OCGJD400	01/02/2025	03.49.00	231,63	313,81	0000	TWSUSER	2409
OCGJD400	04/02/2025	04.17.13	247,73	335,02	0000	TWSUSER	41332
OCGJD400	05/02/2025	04.15.20	242,58	293,10	0000	TWSUSER	66459
OCGJD400	06/02/2025	04.12.48	249,43	365,31	0000	TWSUSER	91545
OCGJD400	07/02/2025	03.54.30	250,57	325,76	0000	TWSUSER	14245
OCGJD400	08/02/2025	04.15.49	251,66	343,71	0000	TWSUSER	38644
OCGJD400	11/02/2025	04.06.54	251,36	332,93	0000	TWSUSER	77619
OCGJD400	12/02/2025	03.52.43	252,40	316,04	0000	TWSUSER	3731
OCGJD400	13/02/2025	03.53.13	253,17	314,41	0000	TWSUSER	30036
OCGJD400	14/02/2025	03.54.12	249,35	319,25	0000	TWSUSER	52748
OCGJD400	15/02/2025	03.51.18	244,48	336,92	0000	TWSUSER	79023
OCGJD400	18/02/2025	03.55.03	237,40	306,25	0000	TWSUSER	18454
OCGJD400	19/02/2025	03.54.16	234,01	287,45	0000	TWSUSER	46175
OCGJD400	20/02/2025	03.51.09	235,17	301,71	0000	TWSUSER	72129
OCGJD400	21/02/2025	03.50.02	236,44	326,68	0000	TWSUSER	94378
OCGJD400	22/02/2025	03.48.24	241,21	364,68	0000	TWSUSER	19977
OCGJD400	25/02/2025	03.34.00	233,57	309,55	0000	TWSUSER	60607
OCGJD400	26/02/2025	03.49.44	269,33	341,00	0000	TWSUSER	86001
OCGJD400	27/02/2025	03.48.58	261,45	333,46	0000	TWSUSER	8752
OCGJD400	28/02/2025	03.51.31	262,06	342,16	0000	TWSUSER	30778
OCGJD400	01/03/2025	09.51.07	264,63	352,04	0000	TWSUSER	57720
OCGJD400	06/03/2025	04.36.05	268,45	456,53	0000	TWSUSER	7599
OCGJD400	07/03/2025	04.03.46	268,04	419,64	0000	TWSUSER	30472
OCGJD400	08/03/2025	03.52.42	267,40	363,02	0000	TWSUSER	52199
OCGJD400	11/03/2025	03.49.52	264,80	341,86	0000	TWSUSER	88057
OCGJD400	12/03/2025	03.49.17	266,93	345,49	0000	TWSUSER	10165
OCGJD400	13/03/2025	03.49.42	267,06	334,79	0000	TWSUSER	34209
OCGJD400	14/03/2025	03.50.24	269,14	353,67	0000	TWSUSER	57973
