NOME DO JOB	DATA DE EXECUÇÃO	HORA DE EXECUÇÃO	TEMPO DE CPU	TEMPO DE SALA	RETURN CODE	USUARIO	JOBID
OCGJD400	27/10/2020	04.00.39	3,04	21,39	0012	TWSUSER	56924
OCGJD400	27/10/2020	04.25.46	0,04	0,94	0012	TWSUSER	57018
OCGJD400	27/10/2020	04.56.33	0,04	0,91	0012	TWSUSER	57175
OCGJD400	27/10/2020	05.20.40	0,38	18,50	0000	TWSUSER	57328
OCGJD400	28/10/2020	04.02.39	2,89	29,23	0012	TWSUSER	75557
OCGJD400	28/10/2020	04.47.02	3,46	46,24	0000	TWSUSER	75861
OCGJD400	29/10/2020	04.13.11	3,79	53,41	0000	TWSUSER	94429
OCGJD400	30/10/2020	04.05.59	2,91	29,00	0012	TWSUSER	13325
OCGJD400	30/10/2020	04.57.32	3,49	54,30	0000	TWSUSER	13691
OCGJD400	31/10/2020	03.53.58	3,29	28,22	0012	TWSUSER	31585
OCGJD400	31/10/2020	04.30.21	3,50	35,25	0000	TWSUSER	31821
OCGJD400	04/11/2020	04.12.28	2,85	34,61	0012	TWSUSER	65682
OCGJD400	04/11/2020	05.02.14	3,80	47,89	0000	TWSUSER	65956
OCGJD400	05/11/2020	04.13.33	3,75	49,93	0000	TWSUSER	84279
OCGJD400	06/11/2020	03.54.54	2,76	30,03	0012	TWSUSER	3899
OCGJD400	06/11/2020	04.32.10	2,85	28,92	0012	TWSUSER	4115
OCGJD400	06/11/2020	05.16.43	2,80	24,87	0012	TWSUSER	4442
OCGJD400	06/11/2020	06.04.29	3,45	37,84	0000	TWSUSER	4811
OCGJD400	07/11/2020	06.18.33	4,30	54,16	0000	TWSUSER	23533
OCGJD400	10/11/2020	05.45.04	3,37	47,66	0000	TWSUSER	50827
OCGJD400	11/11/2020	03.58.28	3,62	54,48	0000	TWSUSER	70097
OCGJD400	12/11/2020	03.55.38	3,33	41,95	0000	TWSUSER	90916
OCGJD400	13/11/2020	03.58.03	3,26	45,96	0000	TWSUSER	10719
